"release_date","popularity","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","listener_0","listener_1"
52,68,0,817,342,0,-11,1,92,137,214,100,473,85,286,4,1,0
45,89,1,957,591,8,-5,1,438,28,1,168,511,123,234,4,1,0
41,80,0,484,827,11,-6,0,93,110,4,56,830,166,249,4,1,0
52,85,0,622,742,5,-6,1,92,11,110,345,668,165,309,4,1,0
27,88,0,526,910,1,-5,1,109,0,0,94,741,117,302,4,1,0
53,49,0,697,679,1,-7,0,77,347,0,443,564,95,204,4,1,0
29,94,1,540,412,7,-10,1,72,10,0,122,107,92,239,4,1,0
40,62,0,406,920,9,-5,0,131,5,0,192,429,146,223,4,1,0
53,51,0,920,585,1,-10,1,179,49,194,17,704,114,139,4,1,0
52,82,1,717,684,4,-7,0,66,5,0,577,111,135,135,4,1,0
50,62,1,628,295,1,-11,1,337,759,0,100,209,148,215,4,1,0
32,89,0,433,878,11,-6,0,71,0,0,63,374,158,251,4,1,0
41,70,0,440,974,1,-5,1,370,0,2,71,476,165,173,4,1,0
52,73,0,832,298,1,-13,0,335,865,139,101,248,174,342,4,1,0
6,89,0,486,789,1,-9,1,179,50,3,448,630,159,202,4,1,0
43,89,1,832,759,9,-4,0,73,14,0,61,566,127,196,4,1,0
53,82,1,770,807,2,-4,1,293,535,0,191,601,110,163,4,1,0
48,85,0,715,898,9,-5,1,169,90,65,49,964,101,179,4,1,0
41,87,1,568,449,0,-9,1,160,143,0,117,131,191,243,4,1,0
50,79,1,760,717,8,-6,0,308,12,0,70,530,140,192,4,1,0
49,87,1,848,446,11,-11,1,77,260,88,98,374,112,299,4,1,0
48,92,0,655,649,0,-6,1,65,122,0,171,611,114,199,4,1,0
27,67,0,621,830,7,-8,1,62,40,217,769,723,114,308,4,1,0
41,55,0,732,429,5,-8,0,198,159,6,455,419,134,274,4,1,0
41,90,1,670,616,6,-8,0,77,39,0,432,442,90,238,4,1,0
41,64,0,615,599,6,-7,1,205,116,0,59,477,115,278,4,1,0
53,82,0,461,295,8,-9,1,103,904,0,136,276,170,233,3,1,0
41,71,0,668,963,9,-5,1,171,0,1,20,847,150,165,4,1,0
41,67,0,692,833,0,-4,1,132,0,0,61,779,135,193,4,1,0
52,94,0,508,390,9,-11,0,196,330,0,91,387,138,165,4,1,0
41,92,0,551,863,0,-6,1,110,3,0,80,255,140,254,4,1,0
40,65,0,477,878,11,-6,1,78,1,0,99,207,138,331,4,1,0
40,79,0,561,947,6,-4,0,69,2,0,420,800,103,174,4,1,0
27,76,0,711,645,7,-6,1,74,2,0,42,499,123,257,4,1,0
50,79,1,689,658,2,-6,1,264,28,0,353,234,163,206,4,1,0
41,63,0,675,471,6,-10,1,66,29,17,215,480,126,190,4,1,0
47,94,0,586,868,5,-5,0,77,0,6,82,588,105,214,4,1,0
41,83,0,686,823,1,-5,0,54,1,0,114,813,112,184,4,1,0
43,49,1,840,557,9,-5,0,514,567,0,100,581,92,165,4,1,0
33,70,0,748,287,7,-11,1,56,16,837,60,69,107,380,4,1,0
23,67,0,504,927,11,-9,0,130,0,579,94,439,97,312,4,1,0
51,90,0,497,919,9,-10,0,89,5,882,541,716,93,122,4,1,0
33,75,0,645,400,11,-9,0,77,18,516,129,222,77,331,4,1,0
41,61,0,434,806,11,-4,0,178,1,0,368,784,138,171,4,1,0
41,56,0,344,799,4,-7,0,74,1,50,92,272,136,276,4,1,0
41,67,1,492,730,11,-7,0,120,0,60,60,642,180,209,4,1,0
41,83,0,454,959,9,-4,1,84,1,0,0,376,173,269,4,1,0
52,92,0,362,940,9,-10,1,90,0,657,28,419,180,147,4,1,0
34,57,0,775,999,11,-6,0,266,63,956,287,266,137,220,4,1,0
30,60,0,568,966,10,-8,1,82,1,133,85,361,140,264,4,1,0
36,62,0,832,634,7,-8,1,190,1,937,25,145,132,213,4,1,0
30,39,0,664,941,5,-13,0,88,4,807,116,213,145,241,4,1,0
32,69,0,705,803,9,-6,1,95,12,911,11,312,130,336,4,1,0
42,19,0,602,997,3,-4,1,310,14,841,354,74,137,177,4,1,0
51,88,0,506,101,5,-20,0,68,960,150,94,209,137,162,3,1,0
36,76,0,605,592,5,-6,1,96,0,1,542,655,168,263,4,1,0
50,82,1,601,531,7,-4,0,56,98,0,364,306,83,271,4,1,0
51,79,1,903,636,7,-7,1,131,602,686,104,689,158,134,4,1,0
28,32,0,693,755,9,-13,1,98,12,133,122,456,147,224,4,1,0
47,74,0,693,866,5,-5,1,65,79,959,447,823,127,109,4,1,0
51,80,0,546,892,7,-5,1,86,0,362,85,244,120,322,4,1,0
30,56,0,696,999,6,-6,0,124,1,483,313,381,149,387,4,1,0
32,67,0,571,947,11,-5,1,151,3,378,239,365,142,280,4,1,0
50,86,0,829,247,5,-12,1,84,682,563,89,580,166,215,4,1,0
32,83,0,377,485,7,-9,1,50,65,0,174,333,75,264,4,1,0
42,62,0,571,952,7,-5,1,85,1,121,306,574,140,216,4,1,0
55,77,0,858,809,3,-8,0,77,1,953,103,334,121,335,4,1,0
53,83,0,888,681,1,-8,0,96,13,0,30,712,125,187,4,1,0
52,58,0,846,927,6,-4,0,87,1,900,55,471,140,112,4,1,0
41,67,0,627,850,1,-8,1,82,48,351,79,868,94,237,4,1,0
23,88,0,548,762,4,-6,1,52,41,0,130,901,136,245,4,1,0
41,56,0,632,382,0,-10,0,59,550,233,91,357,173,378,4,1,0
50,80,1,541,532,5,-9,1,483,826,0,86,530,78,272,4,1,0
50,80,1,545,523,1,-8,1,399,372,2,110,182,142,345,4,1,0
54,57,1,792,999,1,-3,1,250,73,39,197,544,93,126,4,1,0
36,83,0,535,915,4,-5,0,166,5,0,444,322,75,272,4,1,0
21,85,0,640,842,11,-6,1,84,5,0,61,773,104,163,4,1,0
30,58,0,673,997,5,-4,0,108,7,778,185,166,145,380,4,1,0
55,18,0,594,878,2,-9,1,112,11,5,351,139,137,173,4,1,0
41,65,0,358,976,2,-5,1,111,4,18,84,754,167,242,4,1,0
32,63,0,320,869,2,-7,1,97,8,830,281,667,168,288,4,1,0
48,81,1,487,200,4,-13,0,88,961,2,184,213,58,256,4,1,0
46,56,1,607,530,9,-5,1,682,296,0,307,376,94,178,4,1,0
29,58,0,652,383,1,-12,1,66,31,4,50,850,136,283,4,1,0
21,82,0,638,752,6,-5,1,53,28,0,187,796,114,216,4,1,0
49,80,0,532,398,10,-10,1,57,781,96,73,497,135,305,4,1,0
47,80,1,884,417,8,-8,1,345,477,0,144,195,120,208,4,1,0
52,44,0,344,397,10,-9,0,78,430,768,97,154,121,183,4,1,0
32,65,1,633,996,10,-4,0,318,3,649,98,270,136,343,4,1,0
30,82,0,439,363,4,-12,1,50,73,18,74,360,88,257,4,1,0
30,60,0,450,878,9,-8,0,207,22,714,699,265,149,259,3,1,0
29,55,0,720,624,2,-15,1,71,45,28,83,563,109,252,4,1,0
48,81,0,557,266,2,-10,1,55,344,0,128,123,130,394,4,1,0
50,80,1,605,367,7,-9,1,531,978,731,217,472,147,126,1,1,0
32,88,0,267,374,5,-11,1,54,59,4,103,121,76,229,4,1,0
41,54,0,785,418,9,-12,1,76,29,209,104,172,106,239,4,1,0
53,52,1,692,902,5,-8,0,184,11,371,50,489,155,120,4,1,0
41,73,0,541,321,4,-10,1,66,844,601,70,172,128,255,3,1,0
36,73,0,679,894,2,-4,1,79,1,1,72,481,128,217,4,1,0
54,50,0,706,1000,5,0,0,516,63,740,32,60,155,169,4,1,0
42,18,0,549,960,7,-5,1,86,0,724,351,721,140,194,4,1,0
32,75,0,655,584,2,-7,1,54,1,17,459,281,96,265,4,1,0
36,74,0,515,966,3,-4,1,90,0,359,151,229,95,189,4,1,0
52,52,0,627,936,0,-6,1,72,9,855,163,158,140,115,4,1,0
21,82,0,253,451,2,-10,1,53,542,0,161,464,92,113,3,1,0
52,67,1,553,742,7,-8,1,93,5,0,81,750,164,164,4,1,0
24,85,0,656,472,2,-8,1,49,10,0,136,416,104,187,3,1,0
32,80,0,673,897,9,-7,0,74,2,140,360,747,125,236,4,1,0
52,52,0,518,354,7,-9,0,53,810,81,111,39,114,208,4,1,0
30,76,0,485,204,2,-13,1,58,169,103,210,139,74,291,4,1,0
47,69,0,604,952,10,-9,1,70,1,508,539,312,140,456,4,1,0
52,77,1,778,539,8,-9,1,812,395,0,50,523,85,209,4,1,0
53,49,1,911,685,1,-7,1,498,111,0,112,385,85,203,4,1,0
28,63,0,683,943,9,-5,1,100,2,286,91,467,147,302,4,1,0
54,54,0,721,987,7,-2,1,80,0,639,386,127,100,146,4,1,0
39,62,0,464,960,1,-5,1,128,0,908,200,548,174,308,4,1,0
30,76,0,305,760,7,-7,0,167,0,12,58,369,176,235,4,1,0
36,62,0,696,669,5,-8,1,58,151,0,385,827,96,151,4,1,0
36,82,0,568,516,9,-7,1,58,3,0,374,690,106,183,4,1,0
32,75,0,368,666,9,-9,1,61,0,117,184,147,102,300,4,1,0
52,77,1,809,876,2,-4,1,626,31,0,268,313,61,136,5,1,0
50,64,1,884,528,8,-7,1,703,165,0,101,258,143,167,4,1,0
52,86,1,823,901,2,-4,1,407,262,0,170,581,140,193,4,1,0
41,58,0,798,501,0,-10,1,85,173,0,286,578,134,164,4,1,0
52,71,0,448,706,7,-4,1,63,48,0,709,341,158,195,3,1,0
30,58,0,482,681,6,-9,1,66,8,0,289,505,172,234,4,1,0
41,87,1,702,740,1,-7,1,366,342,0,105,944,87,203,4,1,0
49,75,1,823,608,8,-7,1,492,14,0,147,492,78,236,4,1,0
34,39,0,762,1000,11,-8,0,181,19,954,977,124,137,409,4,1,0
41,76,0,702,461,4,-9,0,69,539,444,133,103,88,229,4,1,0
52,87,0,651,870,5,-3,0,72,41,0,66,898,98,238,4,1,0
49,80,0,682,532,1,-9,1,69,785,45,68,641,107,230,4,1,0
32,73,0,263,844,5,-7,1,112,38,6,32,213,164,387,4,1,0
55,33,0,731,799,2,-2,1,165,2,220,81,402,165,188,4,1,0
50,74,0,285,213,2,-12,0,68,903,10,298,122,84,162,4,1,0
41,68,0,548,645,4,-7,0,51,518,166,48,220,104,290,4,1,0
55,57,1,629,882,11,-6,0,762,16,0,1000,757,105,111,4,1,0
52,74,1,652,945,7,-4,0,103,45,0,67,346,130,166,4,1,0
32,60,0,211,885,9,-5,0,137,3,102,318,338,79,231,4,1,0
40,65,0,547,886,1,-4,1,89,3,0,383,877,144,141,4,1,0
52,77,0,339,301,1,-10,1,68,335,24,248,263,112,345,4,1,0
36,49,0,698,627,0,-13,1,75,741,891,79,669,125,240,4,1,0
7,71,0,559,903,2,-5,1,146,9,600,50,500,109,171,4,1,0
32,79,0,307,253,4,-11,0,68,227,127,168,201,122,267,4,1,0
40,57,0,608,972,11,-4,0,114,4,0,324,953,105,131,4,1,0
55,17,1,453,477,6,-12,0,171,600,0,628,585,73,38,1,1,0
41,62,0,353,265,9,-13,0,62,852,206,83,231,105,130,4,1,0
30,29,0,333,922,9,-9,1,248,1,177,41,44,150,420,4,1,0
53,32,0,743,690,4,-7,0,444,296,0,194,965,75,198,4,1,0
52,68,0,470,317,10,-10,1,57,883,0,107,361,150,236,4,1,0
52,50,0,771,518,7,-8,1,96,187,0,105,280,132,207,4,1,0
30,64,0,276,552,9,-11,1,67,165,271,238,386,173,233,3,1,0
47,48,0,718,447,5,-15,1,85,611,854,99,225,100,538,4,1,0
27,56,0,710,825,6,-7,0,91,44,324,59,866,82,319,4,1,0
53,61,0,546,345,3,-11,1,61,635,12,190,333,144,266,4,1,0
52,48,0,866,535,0,-8,0,67,566,705,115,389,128,132,4,1,0
43,65,0,849,578,8,-13,1,124,420,829,53,306,136,298,4,1,0
32,65,0,327,582,0,-9,1,58,49,1,91,347,151,268,3,1,0
52,46,0,710,403,3,-11,1,184,913,33,132,571,160,90,4,1,0
32,62,0,255,645,11,-7,0,79,99,146,202,227,78,285,4,1,0
52,51,0,509,621,5,-7,1,179,699,26,215,72,126,215,3,1,0
55,96,1,797,653,9,-5,0,107,111,0,335,215,143,148,4,1,0
40,77,0,665,587,2,-5,1,71,29,0,204,321,112,175,4,1,0
53,46,1,619,901,2,-5,1,399,14,5,749,655,200,118,4,1,0
54,54,1,811,779,7,-5,1,312,74,3,98,611,155,140,4,1,0
40,70,0,226,879,11,-5,0,85,1,0,338,675,189,193,4,1,0
40,76,1,365,872,11,-5,0,386,35,0,107,419,169,202,4,1,0
18,74,0,552,921,2,-7,1,73,1,794,120,925,147,208,4,1,0
29,79,1,632,755,4,-8,0,552,97,0,543,390,95,212,4,1,0
41,60,0,710,417,7,-11,0,64,100,748,100,75,96,263,4,1,0
51,67,0,571,941,0,-4,0,81,1,26,37,376,165,256,4,1,0
52,71,1,627,459,0,-4,1,65,6,0,286,56,150,102,4,1,0
48,95,0,571,531,9,-7,1,207,676,0,470,565,160,185,3,1,0
52,73,0,355,219,1,-13,1,109,881,4,95,188,155,278,3,1,0
41,69,0,742,483,5,-10,1,58,273,591,88,646,112,328,4,1,0
55,36,0,628,833,9,-9,1,103,7,2,128,197,137,246,4,1,0
41,92,0,828,636,10,-6,0,264,52,0,266,673,88,211,4,1,0
52,71,0,638,532,1,-8,1,68,404,87,79,195,84,195,4,1,0
41,61,0,625,363,1,-11,0,63,704,838,74,52,77,280,4,1,0
30,30,0,302,268,0,-15,1,68,4,253,929,82,164,46,1,1,0
52,80,0,578,628,1,-7,1,238,400,0,417,335,168,180,4,1,0
54,46,1,779,967,1,0,1,715,69,4,30,611,200,107,3,1,0
52,69,0,639,0,9,-15,1,94,909,5,97,381,152,170,4,1,0
24,80,0,331,468,9,-9,0,60,0,5,76,308,117,270,3,1,0
41,54,0,712,761,0,-7,1,153,258,42,77,705,126,267,4,1,0
52,48,0,589,592,1,-10,0,185,269,0,134,172,180,182,4,1,0
52,74,0,590,172,10,-10,1,61,968,9,129,80,133,240,4,1,0
52,69,0,629,742,11,-7,1,81,47,306,77,499,131,185,4,1,0
55,94,1,898,608,0,-8,1,91,655,253,79,819,120,134,4,1,0
40,61,0,622,312,9,-14,1,89,363,0,262,265,104,135,4,1,0
41,77,0,557,598,11,-8,0,75,783,784,76,205,153,318,4,1,0
50,77,1,703,576,1,-10,1,248,629,243,86,207,169,174,4,1,0
40,57,0,652,842,11,-5,0,60,3,0,86,940,111,144,4,1,0
36,73,0,525,753,2,-6,0,66,3,64,150,142,83,280,4,1,0
52,68,0,395,422,4,-12,1,63,944,20,93,230,129,242,3,1,0
29,63,0,233,698,9,-12,1,112,1,7,98,307,113,209,3,1,0
52,87,1,858,614,10,-5,0,391,8,105,168,427,143,196,4,1,0
52,61,1,918,476,11,-8,0,297,14,0,48,412,151,167,4,1,0
52,62,1,689,768,6,-6,1,132,163,328,415,663,156,157,4,1,0
51,71,0,683,891,0,-5,0,79,4,4,116,782,132,277,4,1,0
47,92,1,671,732,4,-4,1,55,12,7,168,808,117,216,4,0,1
41,39,0,852,673,5,-8,1,152,123,66,209,916,121,166,4,0,1
51,56,0,760,453,11,-7,1,58,535,0,103,463,105,206,4,0,1
47,23,0,500,516,8,-6,1,84,248,2,118,279,133,159,4,0,1
54,49,0,767,955,11,-8,0,143,8,805,85,594,160,272,4,0,1
53,93,1,586,537,5,-7,1,256,143,0,99,403,143,202,4,0,1
54,37,0,808,562,7,-10,1,271,432,151,100,356,125,282,4,0,1
52,65,0,672,418,6,-10,0,626,645,0,135,550,129,158,4,0,1
55,23,0,779,414,1,-12,1,84,43,159,110,487,135,271,4,0,1
49,65,0,694,646,7,-10,1,67,293,900,91,58,118,391,4,0,1
49,52,0,807,435,11,-7,1,171,64,0,59,479,85,193,4,0,1
8,80,0,423,412,4,-12,1,434,546,0,63,659,180,148,4,0,1
46,73,0,768,608,1,-11,1,146,621,302,107,258,111,247,4,0,1
48,60,0,982,460,0,-12,0,173,88,2,124,559,130,182,4,0,1
50,62,0,840,573,5,-7,0,62,533,14,143,912,84,139,4,0,1
52,48,0,0,428,6,-9,1,0,69,911,199,0,0,115,0,0,1
49,43,0,699,587,11,-10,0,83,191,30,104,678,155,211,4,0,1
43,62,1,671,653,9,-7,0,98,206,4,262,953,92,63,4,0,1
53,43,0,606,881,9,-6,0,126,129,1,187,414,144,343,4,0,1
49,30,0,812,727,4,-6,0,75,252,0,105,435,95,166,4,0,1
53,39,0,700,992,6,-6,1,129,5,815,210,338,145,397,4,0,1
54,37,0,647,661,8,-7,1,56,134,30,233,646,110,192,4,0,1
53,15,0,775,236,7,-12,0,207,951,822,97,445,82,130,4,0,1
53,49,0,899,336,3,-10,1,175,135,717,85,291,120,243,4,0,1
52,13,0,726,325,7,-13,0,86,705,874,109,282,95,166,4,0,1
17,81,0,662,673,7,-6,1,75,165,0,989,721,106,197,4,0,1
43,71,0,881,465,6,-7,0,65,202,0,72,983,95,243,4,0,1
51,79,1,903,636,7,-7,1,131,602,686,104,689,158,134,4,0,1
54,50,0,666,932,7,-7,1,89,0,1000,167,901,150,233,4,0,1
52,57,0,631,322,0,-10,1,158,705,267,80,282,119,144,4,0,1
14,85,0,434,134,7,-22,0,62,896,0,107,435,159,199,4,0,1
3,63,0,495,37,0,-16,1,68,977,3,135,259,114,295,4,0,1
41,51,0,835,447,4,-9,1,73,4,2,29,653,86,162,4,0,1
50,50,0,796,313,2,-14,1,488,989,863,240,850,81,76,4,0,1
46,46,0,706,253,7,-13,0,57,109,914,101,782,177,615,4,0,1
54,32,0,843,292,6,-10,0,173,130,0,272,915,141,136,4,0,1
49,46,0,917,220,3,-19,0,322,981,963,110,494,82,88,4,0,1
52,32,0,804,390,8,-11,0,131,69,943,97,783,82,102,4,0,1
53,43,0,671,671,0,-6,1,60,163,0,138,570,118,199,4,0,1
52,55,0,659,557,2,-7,1,163,118,0,70,846,79,168,4,0,1
48,55,0,931,533,11,-8,1,141,53,849,98,389,92,152,4,0,1
8,75,0,788,427,4,-13,0,66,507,0,76,992,106,164,4,0,1
42,62,0,713,629,1,-7,0,65,294,6,116,759,106,322,4,0,1
54,45,0,725,988,2,-8,1,88,4,564,41,596,150,183,4,0,1
44,67,0,785,460,4,-6,0,384,155,0,960,907,96,134,4,0,1
52,30,0,671,662,11,-12,0,90,349,937,98,40,120,248,4,0,1
51,40,0,849,116,10,-19,0,893,973,768,97,689,168,103,4,0,1
39,65,1,758,448,3,-6,0,184,263,0,97,528,98,246,4,0,1
0,71,0,476,236,8,-13,0,78,547,1,48,615,174,324,5,0,1
53,33,0,889,794,5,-7,0,85,41,576,105,649,138,239,4,0,1
55,36,0,495,970,8,-4,0,211,0,85,442,636,152,257,4,0,1
54,52,0,559,748,8,-7,0,189,39,0,229,577,168,177,4,0,1
54,38,0,792,977,7,-4,1,102,0,938,55,990,151,231,4,0,1
49,87,1,848,446,11,-11,1,77,260,88,98,374,112,299,4,0,1
3,77,0,700,236,7,-14,1,101,459,0,41,379,119,147,4,0,1
7,55,0,692,543,9,-11,1,56,712,43,114,638,125,155,4,0,1
53,51,0,860,51,4,-14,0,374,695,997,173,628,80,63,4,0,1
44,46,0,786,572,3,-10,1,193,296,864,149,543,85,113,4,0,1
53,33,0,811,410,0,-10,0,144,755,11,83,736,84,154,4,0,1
53,39,0,658,499,8,-8,0,166,443,1,246,674,76,165,4,0,1
50,63,0,767,450,9,-13,0,70,804,0,264,869,120,109,4,0,1
46,61,0,808,466,11,-9,1,155,225,591,155,150,91,168,4,0,1
49,58,0,818,346,7,-6,0,162,29,612,25,605,172,157,4,0,1
49,50,0,703,698,7,-10,1,84,23,412,103,449,92,115,4,0,1
55,35,0,538,961,7,-4,1,68,4,811,58,868,150,321,4,0,1
47,54,0,836,775,11,-7,0,177,155,69,88,433,80,247,4,0,1
14,90,0,601,673,5,-7,1,341,468,0,79,841,170,143,4,0,1
54,15,0,684,364,1,-9,1,73,2,867,65,690,123,394,4,0,1
54,19,0,608,451,1,-7,1,73,133,0,302,751,186,200,4,0,1
11,60,0,868,49,11,-19,1,81,710,221,59,499,96,143,4,0,1
45,89,1,957,591,8,-5,1,438,28,1,168,511,123,234,4,0,1
54,37,0,659,898,11,-9,0,89,8,915,80,939,135,174,4,0,1
54,39,0,759,834,2,-7,0,116,12,692,97,464,125,355,4,0,1
55,73,0,664,838,7,-6,0,66,37,691,146,588,145,175,4,0,1
54,17,0,671,571,6,-7,0,70,37,942,52,559,129,333,4,0,1
54,32,0,610,687,9,-8,1,70,3,394,67,231,132,360,4,0,1
10,89,0,552,396,4,-11,0,236,463,0,107,530,78,125,4,0,1
46,75,1,538,618,4,-9,0,368,100,0,143,512,71,214,4,0,1
51,33,1,777,542,7,-7,0,219,433,0,92,730,79,194,4,0,1
54,49,0,803,762,9,-7,0,83,180,81,32,947,108,206,4,0,1
54,62,0,805,694,5,-10,0,90,7,288,84,811,133,235,4,0,1
52,82,1,473,615,8,-5,1,246,599,10,109,792,75,184,4,0,1
55,55,1,629,882,11,-6,0,762,16,0,1000,757,105,111,4,0,1
47,98,0,470,349,9,-10,1,88,982,282,737,103,174,208,3,0,1
41,56,0,710,819,0,-6,1,87,27,17,405,716,122,188,4,0,1
54,30,0,661,995,4,-7,0,155,0,434,78,517,145,299,4,0,1
41,68,0,1000,771,2,-8,0,82,55,815,100,979,122,202,4,0,1
54,54,0,699,939,2,-7,0,75,1,949,62,900,143,138,4,0,1
36,73,0,346,903,4,-5,1,96,0,0,52,266,163,229,4,0,1
50,68,1,706,205,1,-10,0,393,194,0,92,105,174,212,4,0,1
7,82,0,269,317,4,-13,1,69,746,0,271,560,207,162,4,0,1
54,49,0,686,964,2,-7,1,77,0,193,365,657,145,168,4,0,1
49,71,0,538,226,5,-9,0,71,926,0,107,361,74,221,4,0,1
48,42,0,577,230,7,-20,1,72,873,915,100,41,80,168,4,0,1
51,88,0,738,200,6,-14,0,193,915,682,94,250,120,245,4,0,1
54,15,0,464,976,11,-6,0,177,1,367,255,403,75,275,4,0,1
